WBS,Status,Name,Estimated time,Role,Phase,DIY Difficulty (AI),Recommended AI Tool,Tools,Description
1.2,,Backup/rollback plan,0.5,Developer,"Objective A — Stable, Maintainable Infrastructure & Dev Workflow",Easy with AI,Cursor (runbook),"Git, Vercel Deploy History",Document rollback procedures
1.21,,Dependency scanning,0.5,Developer,"Objective A — Stable, Maintainable Infrastructure & Dev Workflow",Easy with AI,Cursor (setup guide),"Dependabot, Snyk",Enable vulnerability scanning
1.22,,Release process,0.5,Developer,"Objective A — Stable, Maintainable Infrastructure & Dev Workflow",Easy with AI,Cursor (template),GitHub PR Templates,"PR template, review checklist, deploy steps"
1.23,,Vercel billing review,0.5,You (Rod),"Objective A — Stable, Maintainable Infrastructure & Dev Workflow",Easy with AI,Cursor (checklist),Vercel Billing,"Confirm plan, usage alerts"
2.01,,Install & bootstrap CMS,1,Developer,Objective B — Non-Technical Editing via CMS + Blog Publishing,Moderate with AI,Windsurf (project init),TinaCMS or Decap,Add deps; configure; admin loads in dev
2.02,,Configure CMS auth,1,Developer,Objective B — Non-Technical Editing via CMS + Blog Publishing,Moderate with AI,Cursor (OAuth setup),GitHub OAuth App,OAuth app + scopes; verify edit/save
2.03,,Design content model,1,Developer,Objective B — Non-Technical Editing via CMS + Blog Publishing,Moderate with AI,Cursor (schema),CMS schema/config,"Global settings (brand, nav, footer, contact)"
2.04,,Map Hero section,1,Developer,Objective B — Non-Technical Editing via CMS + Blog Publishing,Moderate with AI,Cursor,CMS UI,"Headline, subhead, CTA, background editable"
2.05,,Map Navigation & Footer,1,Developer,Objective B — Non-Technical Editing via CMS + Blog Publishing,Moderate with AI,Cursor,CMS UI,Editable menus/links/address/socials
2.06,,Blog collection schema,1.5,Developer,Objective B — Non-Technical Editing via CMS + Blog Publishing,Moderate with AI,Cursor (schema draft),CMS config,"Title, slug, author, date, hero, excerpt, tags, SEO"
2.07,,Blog post template,2,Developer,Objective B — Non-Technical Editing via CMS + Blog Publishing,Developer recommended,—,"Next.js, MDX",Dynamic [slug] renders MD/MDX + meta
2.08,,Blog index & pagination,2,Developer,Objective B — Non-Technical Editing via CMS + Blog Publishing,Developer recommended,—,Next.js,"/blog with pagination, tags, excerpts"
2.09,,Author bios,1,Developer,Objective B — Non-Technical Editing via CMS + Blog Publishing,Moderate with AI,Cursor,CMS schema,Authors collection + post association
2.1,,Draft preview mode,1,Developer,Objective B — Non-Technical Editing via CMS + Blog Publishing,Moderate with AI,Cursor,Next.js Preview,View unpublished drafts
2.11,,Media optimization,1.5,Developer,Objective B — Non-Technical Editing via CMS + Blog Publishing,Moderate with AI,Cursor,Provider from Phase 0,Wire CMS to media provider; ensure optimization
2.12,,Content migration,1.5,You (Rod),Objective B — Non-Technical Editing via CMS + Blog Publishing,Easy,CMS UI,CMS UI,Seed pages/posts; test edit→publish
2.13,,Editorial workflow,1,You (Rod),Objective B — Non-Technical Editing via CMS + Blog Publishing,Easy,CMS UI,CMS roles,Define states (draft/review/published)
2.14,,Onboarding documentation,1,Developer,Objective B — Non-Technical Editing via CMS + Blog Publishing,Moderate with AI,Cursor (outline),"README, Loom",CONTRIBUTING.md + video walkthrough
2.15,,Case Studies admin,3,Developer,Objective B — Non-Technical Editing via CMS + Blog Publishing,Developer recommended,—,"CMS, Next.js",Admin interface for case studies with all fields
2.16,,Insights seeding,2,You (Rod) + Developer,Objective B — Non-Technical Editing via CMS + Blog Publishing,Moderate with AI,Cursor,"CMS, Next.js",Replace placeholders with real posts; social links
3.01,,UTM governance,0.5,You (Rod),Objective C — Lead Capture & Booking → HubSpot (Revenue Pipeline),Easy with AI,Cursor (naming guide),"GTM, spreadsheet",Standardize params; capture into forms
3.02,,HubSpot field mapping,1,You (Rod),Objective C — Lead Capture & Booking → HubSpot (Revenue Pipeline),Easy,HubSpot UI,HubSpot Settings,Map fields/properties; dedupe; GDPR consent
3.03,,Contact form integration,1.5,Developer,Objective C — Lead Capture & Booking → HubSpot (Revenue Pipeline),Developer recommended,—,"HubSpot API, hCaptcha","Validation, success/fail, spam protection"
3.04,,Booking integration,1.5,Developer,Objective C — Lead Capture & Booking → HubSpot (Revenue Pipeline),Moderate with AI,Cursor (embed),Booking tool from Phase 0,"Embed booking, capture UTMs, timezone handling"
3.05,,Transactional email,1,Developer,Objective C — Lead Capture & Booking → HubSpot (Revenue Pipeline),Developer recommended,—,Resend/Postmark,Confirmation emails; deliverability tested
3.06,,Calendar invites,0.5,Developer,Objective C — Lead Capture & Booking → HubSpot (Revenue Pipeline),Moderate with AI,Cursor (ICS),ics npm,Send ICS with reschedule/cancel links
3.07,,Lead scoring setup,1,You (Rod),Objective C — Lead Capture & Booking → HubSpot (Revenue Pipeline),Easy,HubSpot UI,HubSpot Lists,Define scoring rules; smart lists
3.08,,Property Appraisal Module,6,Developer + You (Rod),Objective C — Lead Capture & Booking → HubSpot (Revenue Pipeline),Developer recommended,—,"Stripe, HubSpot, Booking","Added 20% buffer; Stripe live integration, HubSpot sync, UI polish"
3.09,,Contact page scheduler,2,Developer + You (Rod),Objective C — Lead Capture & Booking → HubSpot (Revenue Pipeline),Moderate with AI,Cursor,"Booking widget, Email","Widget loads, timezone detection, email routing"
3.1,,A/B testing setup,1.5,Developer,Objective C — Lead Capture & Booking → HubSpot (Revenue Pipeline),Moderate with AI,Cursor (split testing),Vercel Edge Config/Optimizely,Infrastructure for conversion testing
3.11,,N8n automations (P3),2.5,You (Rod),Objective C — Lead Capture & Booking → HubSpot (Revenue Pipeline),Moderate with AI,n8n,"n8n, Webhooks","Lead enrichment, notifications, task creation"
3.12,,SMS notifications (P3),1.5,Developer,Objective C — Lead Capture & Booking → HubSpot (Revenue Pipeline),Developer recommended,—,Twilio,Confirmations; opt-in + rate limiting
4.01,,Information architecture,1.5,You (Rod),"Objective D — SEO, Local Discovery & Credibility",Easy with AI,Cursor (IA draft),Miro/Whimsical,"Finalize sitemap, nav, user journeys"
4.02,,Copywriting pass,3,You (Rod),"Objective D — SEO, Local Discovery & Credibility",Easy with AI,Cursor (copy refinement),"Google Docs, CMS",Tighten headlines/CTAs; align offers
4.03,,Services page templates,1.5,Developer,"Objective D — SEO, Local Discovery & Credibility",Developer recommended,—,"Next.js, CMS","Reusable layout (benefits, process, FAQs)"
4.04,,Location pages,5,You (Rod),"Objective D — SEO, Local Discovery & Credibility",Easy with AI,Cursor (localized copy),CMS UI,Added 1hr; unique copy per location + NAP
4.05,,Testimonials integration,1.5,You (Rod),"Objective D — SEO, Local Discovery & Credibility",Easy,CMS UI,CMS UI,Place collected testimonials on key pages
4.06,,FAQ module,1,Developer,"Objective D — SEO, Local Discovery & Credibility",Developer recommended,—,"Next.js, CMS",Build FAQ component; populate via CMS
4.07,,SEO base tags,1,Developer,"Objective D — SEO, Local Discovery & Credibility",Moderate with AI,Cursor (meta),Next.js Metadata API,Dynamic titles/descriptions/canonical
4.08,,Sitemap & robots,0.5,Developer,"Objective D — SEO, Local Discovery & Credibility",Moderate with AI,Cursor,next-sitemap,"/sitemap.xml, /robots.txt"
4.09,,Open Graph & Twitter,1,Developer,"Objective D — SEO, Local Discovery & Credibility",Moderate with AI,Cursor (OG),@vercel/og,OG tags; dynamic social images
4.1,,Schema.org structured data,1,Developer,"Objective D — SEO, Local Discovery & Credibility",Moderate with AI,Cursor (JSON-LD),next-seo,"Organization, BreadcrumbList, BlogPosting"
4.11,,LocalBusiness schema,1,Developer,"Objective D — SEO, Local Discovery & Credibility",Moderate with AI,Cursor,JSON-LD,LocalBusiness/Service + reviews
4.12,,Search Console setup,0.5,You (Rod),"Objective D — SEO, Local Discovery & Credibility",Easy with AI,Cursor (checklist),"GSC, Bing","Verify, submit sitemap"
4.13,,GBP website linking,0.5,You (Rod),"Objective D — SEO, Local Discovery & Credibility",Easy,GBP UI,Google Business Profile,UTM'd website link; NAP consistency
4.14,,Map & service area,1,Developer,"Objective D — SEO, Local Discovery & Credibility",Developer recommended,—,Google Maps/Leaflet,Embed service area map
4.15,,Appraisal page optimization,3,You (Rod) + Developer,"Objective D — SEO, Local Discovery & Credibility",Hard,Cursor (SEO),"GA4, Ads, Lighthouse","Keywords, on-page SEO, tracking, Core Web Vitals"
P5.01,,Launch preparation & go‑live checklist,2,Developer + You (Rod),Phase 5 — Launch & Post‑Launch (WBS P5.xx),Moderate with AI,Cursor (checklist generator),"Vercel Dashboard, Google Docs","Compile and execute pre‑launch QA: verify redirects, analytics tracking, forms/bookings, mobile responsiveness, and speed tests (e.g., Lighthouse score >90). Deploy to production; monitor for downtime. Definition: Site live with no critical errors; all Objective D optimizations confirmed."
P5.02,,Post‑launch validation & bug sweep,1.5,Developer,Phase 5 — Launch & Post‑Launch (WBS P5.xx),Moderate with AI,Cursor (error log review),"Sentry, Vercel Logs, GA4","Scan logs for errors, test key user flows (e.g., booking, form submissions), and confirm integrations (HubSpot sync, email deliverability). Fix any immediate issues. Definition: Zero P0 bugs; validation report documented."
P5.03,,Set up monitoring dashboards & alerts,1.5,Developer,Phase 5 — Launch & Post‑Launch (WBS P5.xx),Easy with AI,Cursor (dashboard setup guide),"Vercel Analytics, Sentry, GA4, UptimeRobot","Configure real-time alerts for downtime, performance drops (e.g., Core Web Vitals), error spikes, and traffic anomalies. Integrate with Slack/Email for notifications. Definition: Dashboards live; test alerts triggered successfully."
P5.04,,Schedule software updates & backups,1,Developer,Phase 5 — Launch & Post‑Launch (WBS P5.xx),Easy with AI,Cursor (automation script),"GitHub Actions, Vercel, Dependabot","Automate dependency scans/updates; set weekly backups (database, media via Cloudinary/S3). Include rollback procedures. Definition: Cron jobs or actions configured; first manual update/backup tested."
P5.05,,Content audit & refresh plan,2,You (Rod),Phase 5 — Launch & Post‑Launch (WBS P5.xx),Easy with AI,Cursor (content outline),"CMS UI, Google Docs","Review all pages for outdated info; create a quarterly calendar for blog posts, testimonials, and location updates. Seed initial post‑launch content (e.g., launch announcement blog). Definition: Audit report; calendar shared with team."
P5.06,,Ongoing SEO monitoring,1.5,You (Rod) + Developer,Phase 5 — Launch & Post‑Launch (WBS P5.xx),Moderate with AI,Cursor (SEO report template),"Google Search Console, GA4, Ahrefs/Semrush (if subscribed)","Set up weekly checks for rankings, crawl errors, and backlinks. Adjust schema/metadata as needed. Definition: Baseline post‑launch report; alerts for drops in traffic/visibility."
P5.07,,User feedback & A/B iteration setup,1.5,You (Rod),Phase 5 — Launch & Post‑Launch (WBS P5.xx),Easy with AI,Cursor (survey builder),"Hotjar/Google Forms, Vercel Edge Config","Embed feedback tools (e.g., polls on key pages); review A/B tests from Objective C and plan first iterations (e.g., headline variants). Definition: Feedback form live; initial test deployed."
P5.08,,Security audit & compliance check,2,Developer,Phase 5 — Launch & Post‑Launch (WBS P5.xx),Moderate with AI,Cursor (audit checklist),"Snyk, CookieYes, SSL Labs",Run vulnerability scans; verify GDPR/cookie consent; renew SSL if needed. Address any post‑launch exposures. Definition: Audit passed with no high‑severity issues; report filed.
P5.09,,Lead pipeline review & optimizations,1.5,You (Rod),Phase 5 — Launch & Post‑Launch (WBS P5.xx),Easy with AI,Cursor (analytics query),"HubSpot, GA4","Analyze first‑week conversions, lead quality, and drop-offs. Tweak forms/bookings based on data (e.g., simplify fields). Definition: Optimization plan documented; initial changes implemented."
P5.10,,Define support contract & handover,1,You (Rod),Phase 5 — Launch & Post‑Launch (WBS P5.xx),Easy,—,"Google Docs, Loom","Outline post‑launch support (e.g., 1 month included, then retainer); create handover docs/video for ongoing maintenance. Definition: Contract addendum signed; docs shared."
P5.11,,Quarterly performance review process,2,Developer + You (Rod),Phase 5 — Launch & Post‑Launch (WBS P5.xx),Moderate with AI,Cursor (review template),"GA4, Sentry, Vercel","Establish a recurring review: metrics on traffic, conversions, uptime; plan enhancements (e.g., new features). Definition: First review scheduled; template ready (recurring, ~4 hours/quarter not in initial total)."
